photoid,school,hispanic,female1,female2,female3,female4,grades1,grades2,grades3,grades4,eversmk1,eversmk2,eversmk3,eversmk4,everdrk1,everdrk2,everdrk3,everdrk4,home1,home2,home3,home4,sch_friend11,sch_friend12,sch_friend13,sch_friend14,sch_friend15,sch_friend16,sch_friend17,sch_friend18,sch_friend19,sch_friend110,sch_friend111,sch_friend112,sch_friend113,sch_friend114,sch_friend115,sch_friend116,sch_friend117,sch_friend118,sch_friend119,sch_friend21,sch_friend22,sch_friend23,sch_friend24,sch_friend25,sch_friend26,sch_friend27,sch_friend28,sch_friend29,sch_friend210,sch_friend211,sch_friend212,sch_friend213,sch_friend214,sch_friend215,sch_friend216,sch_friend217,sch_friend218,sch_friend219,sch_friend31,sch_friend32,sch_friend33,sch_friend34,sch_friend35,sch_friend36,sch_friend37,sch_friend38,sch_friend39,sch_friend310,sch_friend311,sch_friend312,sch_friend313,sch_friend314,sch_friend315,sch_friend316,sch_friend317,sch_friend318,sch_friend319,sch_friend41,sch_friend42,sch_friend43,sch_friend44,sch_friend45,sch_friend46,sch_friend47,sch_friend48,sch_friend49,sch_friend410,sch_friend411,sch_friend412,sch_friend413,sch_friend414,sch_friend415,sch_friend416,sch_friend417,sch_friend418,sch_friend419
611,111,1,0,0,0,0,NA,3,2.5,3,0,0,0,0,0,0,0,0,2,2,2,2,259,346,386,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,550,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566,55,275,211,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,342,409,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,111,1,1,1,1,1,3.5,3.5,4.5,3.5,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,316,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,602,117,172,238,284,291,2,68,NA,114,340,158,289,522,562,NA,NA,NA,70,250,601,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,111,1,NA,NA,NA,1,NA,NA,NA,1.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,111,1,1,1,NA,1,5,5,NA,5,0,0,0,0,0,0,0,0,2,2,NA,2,588,123,68,186,505,NA,NA,249,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,186,214,68,156,NA,NA,59,68,123,156,184,186,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,14,577,NA,NA,NA,NA,254,29,306,NA,NA,NA,NA,NA,NA,NA,NA
627,111,1,1,1,1,1,3.5,NA,4,4.5,0,0,0,0,0,0,0,0,1,1,1,1,93,119,116,171,134,250,260,445,447,448,449,446,470,493,558,610,177,286,317,NA,NA,93,119,250,371,387,445,93,119,134,171,182,250,260,387,447,448,449,13,NA,93,119,NA,250,260,318,286,NA,371,387,364,417,445,460,465,470,468,93,119,NA,250,NA,NA,318,371,395,436,NA,328,NA,548,NA,433,NA,NA,496
1000,111,1,NA,NA,NA,0,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,292,290,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,111,1,NA,NA,NA,0,NA,NA,NA,3,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,424,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,111,1,NA,NA,NA,0,NA,NA,NA,3,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,429,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,111,1,NA,NA,NA,0,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,483,170,407,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,111,1,NA,NA,NA,0,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,576,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,111,1,NA,NA,NA,1,NA,NA,NA,3.5,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,111,1,NA,NA,NA,1,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,111,1,NA,NA,NA,0,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,86,NA,261,NA,357,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,111,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,111,1,NA,NA,NA,0,NA,NA,NA,2.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,111,1,NA,NA,NA,0,NA,NA,NA,4,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,335,226,NA,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,111,1,NA,NA,NA,1,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,472,401,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,111,1,NA,NA,NA,0,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,139,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,111,1,NA,NA,NA,0,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,226,27,16,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,111,0,NA,NA,NA,1,NA,NA,NA,4.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,111,1,NA,NA,NA,1,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,112,1,1,NA,NA,1,4.5,NA,NA,2.5,1,1,1,1,1,1,1,1,2,NA,NA,2,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,112,1,0,0,NA,0,4,3.5,NA,2.5,1,1,1,1,1,1,1,1,1,1,NA,1,9,104,23,373,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,170,378,9,204,48,NA,125,NA,159,138,126,NA,NA,NA,NA,NA,NA,NA
9,112,1,0,0,NA,0,4.5,4.5,NA,3.5,0,0,0,0,0,0,0,0,2,2,NA,2,387,75,174,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,75,387,208,483,48,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,75,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,112,1,1,1,NA,1,3.5,3.5,NA,4.5,0,0,0,0,0,0,0,0,2,2,NA,2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,439,426,388,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,507,213,439,437,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,112,1,1,1,NA,1,2.5,3.5,NA,3.5,0,0,0,0,0,0,0,0,2,2,NA,3,77,306,227,326,349,357,358,77,306,227,326,349,NA,NA,NA,NA,NA,NA,NA,426,421,514,387,393,289,461,426,421,514,387,393,289,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,185,44,426,299,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,112,0,1,1,NA,1,5,4.5,NA,4.5,0,0,0,0,0,0,0,0,1,1,NA,1,499,369,142,243,199,NA,NA,172,262,337,423,481,500,468,NA,NA,NA,NA,NA,423,499,500,337,199,172,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,199,337,133,243,383,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,112,1,1,1,NA,1,3.5,3.5,NA,3.5,0,0,0,0,0,0,0,0,1,3,NA,1,220,351,396,479,242,119,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,45,396,351,239,148,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,216,351,396,100,209,135,239,424,34,NA,45,240,NA,NA,502,511,NA,NA
17,112,1,1,1,NA,1,3.5,4,NA,4.5,1,1,1,1,1,1,1,1,2,2,NA,2,455,309,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,112,1,NA,NA,NA,0,NA,NA,NA,3.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,415,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,112,1,NA,NA,NA,0,NA,NA,NA,2.5,NA,NA,0,0,1,1,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,112,1,0,0,NA,0,4.5,4.5,NA,4.5,0,0,0,0,0,0,0,0,1,1,NA,1,114,354,466,104,5,425,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,354,104,466,425,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,57,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,112,0,0,0,NA,0,3.5,3.5,NA,NA,0,0,0,0,0,0,0,0,1,1,NA,1,479,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,479,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,112,1,0,0,NA,0,3.5,3.5,NA,4.5,0,0,0,0,1,1,1,1,2,2,NA,1,195,249,204,143,384,NA,NA,47,54,57,79,88,106,121,112,137,139,203,225,57,26,79,143,204,313,329,NA,19,55,64,80,88,143,247,259,249,426,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,2,19,54,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,112,1,0,0,NA,0,3.5,1.5,NA,4,1,1,1,1,NA,NA,NA,NA,2,2,NA,2,NA,62,288,106,230,405,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,258,210,288,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,54,293,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,112,1,0,0,NA,0,2.5,3.5,NA,3.5,1,1,1,1,1,1,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,62,210,198,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,54,NA,374,312,151,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,112,1,1,1,NA,1,2.5,2.5,NA,3.5,0,0,0,0,NA,NA,NA,NA,2,2,NA,2,350,488,238,435,384,176,336,311,59,4,71,90,126,150,226,309,436,NA,NA,304,289,97,488,238,59,435,4,126,150,226,311,336,384,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,488,59,367,483,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,112,NA,0,0,NA,0,4,4.5,NA,4.5,0,0,0,0,1,1,1,1,1,1,NA,1,139,204,450,383,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,450,204,NA,NA,NA,NA,2,64,7,NA,339,383,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,204,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,112,1,1,1,NA,1,3.5,3.5,NA,3,1,1,1,1,1,1,1,1,1,1,NA,1,68,477,309,401,105,40,152,68,477,309,401,105,40,152,NA,NA,NA,NA,NA,233,211,24,245,60,161,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,40,NA,68,NA,466,2,88,NA,105,150,NA,NA,NA,NA,NA,NA,NA,NA
44,112,1,1,1,NA,1,3.5,4.5,NA,4.5,1,1,1,1,1,1,1,1,2,2,NA,2,221,321,166,374,399,420,497,4,35,71,106,120,169,290,356,52,87,145,201,221,420,399,321,71,356,510,197,374,347,327,160,512,415,NA,497,494,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,451,71,321,510,512,502,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,112,1,1,1,NA,1,4.5,4.5,NA,4.5,1,1,1,1,1,1,1,1,2,2,NA,2,366,16,479,220,43,439,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,16,421,220,43,479,NA,12,77,81,87,97,119,162,185,184,239,366,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,366,475,516,129,216,77,304,437,11,NA,303,480,NA,NA,361,512,NA,NA
48,112,1,0,0,NA,0,4.5,4,NA,3.5,0,0,0,0,0,0,0,0,1,1,NA,1,9,5,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,243,NA,NA,NA,NA,NA,282,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,243,500,9,386,126,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,112,0,0,0,NA,0,5,5,NA,5,0,0,0,0,0,0,0,0,1,1,NA,1,172,115,199,232,NA,NA,NA,168,164,313,142,481,116,133,305,NA,NA,NA,NA,232,172,481,142,115,168,133,116,164,243,308,313,314,369,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,172,232,70,199,337,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,112,1,0,NA,NA,0,1.5,1.5,NA,2.5,1,1,1,1,0,0,0,0,1,NA,NA,2,3,26,103,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,80,103,NA,329,19,NA,26,80,103,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,120,144,282,327,397,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,112,1,0,0,NA,0,3,2.5,NA,3.5,1,1,1,1,1,1,1,1,2,2,NA,2,95,152,88,140,73,311,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,95,449,88,140,204,137,271,284,450,105,336,455,321,68,415,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,455,404,152,68,204,NA,57,NA,423,321,44,NA,463,NA,35,415,NA,NA
57,112,1,0,0,NA,0,3.5,2.5,NA,3.5,0,0,0,0,0,0,0,0,3,3,NA,3,38,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,143,419,383,436,204,269,108,112,151,217,249,313,327,339,360,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,354,23,204,436,383,457,2,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,112,1,NA,1,NA,1,NA,3.5,NA,3.5,NA,NA,0,0,1,1,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,40,105,166,139,NA,238,126,76,139,140,145,146,143,160,171,197,198,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,57,336,238,367,5,NA,485,488,35,5,4,40,NA,NA,NA,NA,NA,NA
60,112,1,NA,0,NA,0,NA,2.5,NA,2.5,0,0,0,0,0,0,0,0,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,102,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,310,340,9,480,346,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,112,1,1,1,NA,1,4.5,3.5,NA,4.5,0,0,0,0,0,0,0,0,2,2,NA,2,213,NA,173,474,77,507,366,101,129,147,452,458,NA,NA,NA,NA,NA,NA,NA,77,366,129,173,507,452,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,458,475,77,147,129,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
